index,index,Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
17,219,Chrysler,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,38555
18,220,Chrysler,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31,19,1013,35255
19,221,Chrysler,2016,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38590
20,222,Chrysler,2016,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34760
21,223,Chrysler,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,41135
22,224,Chrysler,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,45270
23,225,Chrysler,2017,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38670
24,228,Chrysler,2017,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,38175
25,229,Chrysler,2017,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,30,19,1013,32340
26,231,Chrysler,2017,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,27,18,1013,34840
27,360,Mazda,2015,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,23795
28,361,Mazda,2015,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,19595
29,362,Mazda,2015,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,18445
30,368,Mazda,2015,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,19495
31,373,Mazda,2015,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,16945
32,375,Mazda,2015,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,20645
33,378,Mazda,2015,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,22745
34,379,Mazda,2015,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,17995
35,380,Mazda,2016,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,22545
36,381,Mazda,2016,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,21095
37,385,Mazda,2016,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,23595
38,387,Mazda,2016,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,17845
39,390,Mazda,2016,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,41,30,586,18895
40,395,Mazda,2016,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,41,29,586,20045
41,398,Mazda,2017,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,28,586,21495
42,399,Mazda,2017,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,37,27,586,17845
43,407,Mazda,2017,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,28,586,18895
44,410,Mazda,2017,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,37,27,586,20445
45,479,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,23,17,2031,41365
46,480,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,23,17,2031,35740
47,481,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,22,17,2031,37615
48,482,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,22,17,2031,34695
49,483,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,22,17,2031,35725
50,484,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,22,17,2031,43400
51,485,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,23,17,2031,32820
52,486,Toyota,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,22,17,2031,38645
53,487,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,37825
54,488,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,43620
55,489,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,36115
56,490,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,22,17,2031,35950
57,491,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,22,17,2031,33210
58,492,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,38855
59,493,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,22,17,2031,41585
60,494,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,35085
61,495,Toyota,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,41310
62,496,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,22,17,2031,36690
63,497,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,44360
64,498,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,39595
65,499,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,41850
66,500,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,22,17,2031,42325
67,501,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,35885
68,502,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,38565
69,503,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,Midsize,4dr SUV,21,17,2031,36915
70,504,Toyota,2016,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,4dr SUV,22,17,2031,34010
71,545,FIAT,2015,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,34,28,819,22800
72,546,FIAT,2015,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,34,28,819,24700
73,549,FIAT,2015,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,34,28,819,20345
74,558,FIAT,2016,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,31,819,24495
75,560,FIAT,2016,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,31,819,20395
76,563,FIAT,2016,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2.0,Compact,Convertible,40,31,819,21395
77,566,FIAT,2017,premium unleaded (recommended),101.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,33,27,819,17485
78,567,FIAT,2017,premium unleaded (recommended),101.0,4.0,AUTOMATIC,front wheel drive,2.0,Compact,Convertible,33,27,819,20885
79,570,FIAT,2015,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,19345
80,571,FIAT,2015,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,23095
81,572,FIAT,2015,premium unleaded (recommended),160.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,30,22,819,24695
82,573,FIAT,2015,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,21695
83,574,FIAT,2015,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,20695
84,575,FIAT,2016,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,21880
85,576,FIAT,2016,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,23395
86,577,FIAT,2016,premium unleaded (recommended),160.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,30,22,819,24795
87,578,FIAT,2016,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,20795
88,579,FIAT,2016,premium unleaded (recommended),160.0,4.0,MANUAL,front wheel drive,4.0,Compact,Wagon,33,25,819,19495
89,580,FIAT,2017,premium unleaded (recommended),160.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,30,22,819,23695
90,581,FIAT,2017,premium unleaded (recommended),160.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,30,22,819,20995
91,582,FIAT,2017,premium unleaded (recommended),160.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Wagon,30,22,819,22995
92,623,Mazda,2013,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,22,586,24470
93,624,Mazda,2013,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,22,586,20940
94,625,Mazda,2013,regular unleaded,157.0,4.0,MANUAL,front wheel drive,4.0,Compact,Passenger Minivan,28,21,586,19940
95,626,Mazda,2013,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,22,586,22070
96,627,Mazda,2014,regular unleaded,157.0,4.0,MANUAL,front wheel drive,4.0,Compact,Passenger Minivan,28,21,586,20140
97,628,Mazda,2014,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,22,586,24670
98,629,Mazda,2014,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,22,586,21140
99,630,Mazda,2014,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,22,586,22270
100,631,Mazda,2015,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,21,586,24770
101,632,Mazda,2015,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,21,586,22370
102,633,Mazda,2015,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Passenger Minivan,28,21,586,21240
103,674,Pontiac,1990,regular unleaded,140.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27,17,210,2000
104,675,Pontiac,1990,regular unleaded,110.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,29,20,210,2000
105,676,Pontiac,1990,regular unleaded,140.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,27,17,210,2000
106,677,Pontiac,1990,regular unleaded,140.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,27,17,210,2000
107,678,Pontiac,1990,regular unleaded,140.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,27,17,210,2000
108,679,Pontiac,1991,regular unleaded,140.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,28,17,210,2000
109,680,Pontiac,1991,regular unleaded,140.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,17,210,2000
110,681,Pontiac,1991,regular unleaded,110.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,28,19,210,2000
111,685,Mazda,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,25,19,586,2080
112,686,Mazda,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,25,19,586,2234
113,687,Mazda,2000,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,29,23,586,2000
114,688,Mazda,2000,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25,19,586,2146
115,689,Mazda,2001,premium unleaded (required),165.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,25,19,586,22935
116,690,Mazda,2001,premium unleaded (required),165.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,25,19,586,19935
117,691,Mazda,2001,regular unleaded,125.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25,19,586,20935
118,692,Mazda,2001,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,29,23,586,18735
119,693,Mazda,2002,premium unleaded (required),165.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,25,19,586,19985
120,694,Mazda,2002,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,29,23,586,18785
121,695,Mazda,2002,premium unleaded (required),165.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,25,19,586,21885
122,705,Mazda,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,26,586,24895
123,706,Mazda,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,26,586,22895
124,707,Mazda,2015,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,37,25,586,23845
125,708,Mazda,2015,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,37,25,586,21190
126,709,Mazda,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,40,28,586,29895
127,710,Mazda,2016,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,26,586,22995
128,711,Mazda,2016,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,26,586,24995
129,712,Mazda,2016,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,37,25,586,21495
130,713,Mazda,2016,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,38,26,586,30195
131,714,Mazda,2016,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,37,25,586,23945
132,715,Mazda,2017,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,26,586,30695
133,716,Mazda,2017,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,24,586,21945
134,717,Mazda,2017,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,24,586,24195
135,718,Mazda,2017,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,26,586,22995
136,719,Mazda,2017,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,26,586,25245
137,981,Mazda,1993,regular unleaded,195.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,17,586,2000
138,982,Mazda,1994,regular unleaded,193.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,17,586,2000
139,983,Mazda,1995,regular unleaded,193.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,22,17,586,2000
140,1173,Hyundai,2014,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,37,27,1439,15645
141,1175,Hyundai,2014,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,38,27,1439,14645
142,1177,Hyundai,2015,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,38,27,1439,14745
143,1179,Hyundai,2015,regular unleaded,137.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,37,26,1439,15745
144,1183,Hyundai,2016,regular unleaded,137.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,37,26,1439,15745
145,1187,Hyundai,2016,regular unleaded,137.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,38,27,1439,14745
146,1189,Plymouth,1993,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,Sedan,29,22,535,2000
147,1190,Plymouth,1994,regular unleaded,106.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,25,19,535,2000
148,1191,Plymouth,1995,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,Sedan,26,19,535,2000
149,1213,Honda,2015,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,21,2202,32270
150,1215,Honda,2015,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,34,24,2202,23775
151,1216,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,26300
152,1217,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,30195
153,1218,Honda,2015,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,34,24,2202,25450
154,1220,Honda,2015,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,26,2202,24665
155,1221,Honda,2015,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,24,2202,25030
156,1222,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,30270
157,1223,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,25830
158,1224,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,28495
159,1225,Honda,2015,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,21,2202,30495
160,1227,Honda,2015,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,24,2202,22105
161,1228,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,28420
162,1229,Honda,2015,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,21,2202,33630
163,1230,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,24625
164,1231,Honda,2015,regular unleaded,189.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,24,2202,23865
165,1232,Honda,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,22905
166,1233,Honda,2016,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,21,2202,32745
167,1234,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,2202,28670
168,1235,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,26850
169,1236,Honda,2016,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,26,2202,25065
170,1237,Honda,2016,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,21,2202,30745
171,1238,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,2202,27380
172,1240,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,27850
173,1241,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,24725
174,1242,Honda,2016,regular unleaded,189.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,23,2202,24265
175,1243,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,2202,26380
176,1244,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,30845
177,1245,Honda,2016,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,23,2202,25580
178,1246,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,2202,23005
179,1247,Honda,2016,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,34,23,2202,23875
180,1248,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,28845
181,1249,Honda,2016,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,35,26,2202,26065
182,1250,Honda,2016,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,34,23,2202,26000
183,1251,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,35,26,2202,25725
184,1252,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,2202,24005
185,1256,Honda,2016,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,34,23,2202,22205
186,1258,Honda,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,37,27,2202,30670
187,1259,Honda,2017,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,26,2202,26215
188,1260,Honda,2017,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,32,23,2202,24025
189,1261,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,34,26,2202,30995
190,1262,Honda,2017,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,23,2202,22355
191,1264,Honda,2017,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2.0,Midsize,Coupe,32,23,2202,26150
192,1265,Honda,2017,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,33,21,2202,32895
193,1266,Honda,2017,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,26,2202,25215
194,1267,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,27530
195,1268,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,28820
196,1269,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,24155
197,1271,Honda,2017,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,33,21,2202,30895
198,1274,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,34,26,2202,27000
199,1275,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,34,26,2202,28000
200,1276,Honda,2017,regular unleaded,189.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,23,2202,24415
201,1277,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,34,26,2202,28995
202,1278,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,30820
203,1280,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,Midsize,Coupe,34,26,2202,25875
204,1281,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,26530
205,1282,Honda,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,27,2202,23155
206,1283,Honda,2017,regular unleaded,189.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,34,26,2202,26215
207,1284,Honda,2017,regular unleaded,185.0,4.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,32,23,2202,25730
